SDSS name,Spec Files,BI_limit,Smooth?,BI Value,Vmin,Vmax,If multiple troughs: Vmin,Vmax,Ran through absorption?,EW,Depth,Notes,Observation Time Frame (days),Rest Time Frame (days),Redshift,Normalization Anchor Points,,,BI TOTAL 2000,BI INDIVIDUAL 2000,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,,BI TOTAL 1000,BI INDIVIDUAL 1000,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,,BI TOTAL 500,BI INDIVIDUAL 500,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,
J085117.41+301838.7,spec-1589-52972-0430,,,,,,,,,,,,,,1.914,"3950, 4250, 4950",,,0,[],[],[],[],[],,0,[],[],[],[],[],,0,[],[],[],[],[],"[-40469.8835  -42839.21632 -45338.09111 -49242.12312 -50919.75614
 -57263.82011 -58725.56863]"
J085117.41+301838.7,spec-10431-58137-0135,,,36.03,[-37190.96072],[-40381.02541],,,,[172.42],[0.25],,5165,1772.477694,1.914,"3730, 4350, 4950",,,36.03,[36.03],[-37190.96072],[-40381.02541],[172.42],[0.25],,125.28,"[112.8, 12.48]",[-37190.96072 -42818.29739],[-40381.02541 -44574.85895],"[172.42, 40.42]","[0.25, 0.27]",,196.97,"[149.42, 31.0, 2.22, 14.33]",[-37190.96072 -42818.29739 -45721.71    -56244.82753],[-40381.02541 -44574.85895 -46261.04939 -56976.91903],"[172.42, 40.42, 20.15, 29.82]","[0.25, 0.27, 0.26, 0.25]",
J165542.60+381338.3,spec-5187-56074-0092,,,,,,,,,,,,2176,738.8794567,1.945,"3780, 4200, 5005",,,627.64,[627.64],[-36372.1932],[-45583.97917],[846.86],[0.26],,743.31,[743.31],[-36372.1932],[-45583.97917],[846.86],[0.26],,805.38,"[803.75, 1.63]",[-36372.1932  -46594.98791],[-45583.97917 -47133.65298],"[846.86, 7.01]","[0.26, 0.13]",
J165542.60+381338.3,spec-10720-58250-0895,,,,,,,,,,,Really good fit,,,1.945,"3780, 4200, 5005 Interim",,,791.77,[791.77],[-35623.76917],[-43220.95462],[1011.84],[0.36],,965.46,"[940.64, 24.83]",[-35623.76917 -53239.28484],[-43220.95462 -54708.58473],"[1011.84, 66.6]","[0.36, 0.22]",,1026,"[984.71, 41.29]",[-35691.88757 -53372.806  ],[-43220.95462 -54708.58473],"[1011.84, 66.6]","[0.36, 0.22]",
J141415.41+163915.0,spec-2745-54231-0564,2000,no,,,,,,,,,"Fits what we have really well. SNR = 8.27375
",,,2,"3950, 4450, 5397 Interim",,,69.08,[28.8],[-39453.27951 -56199.26551],[-42163.21077],[443.07],[0.81],,444.09,"[13.86, 208.08, 93.28]",[-38027.83918 -39453.27951 -49041.04099 -56199.26551],[-39181.85528 -42163.21077 -50719.04333],"[110.87, 443.07, 249.02]","[0.65, 0.81, 0.59]",,962.61,"[37.74, 31.05, 1.49, 21.63, 360.9, 86.85, 19.39, 156.76, 3.92, 18.36, 61.56]","[-31695.17148 -34422.71344 -35716.27755 -38163.71167 -39453.27951
 -44258.60405 -46012.83255 -49175.39339 -53129.44214 -54131.86691
 -55199.65061 -56265.7879 ]","[-32309.37148 -34967.49125 -36260.65616 -39181.85528 -42163.21077
 -45203.5242  -46551.86055 -50719.04333 -53664.23596 -54665.82132
 -55932.74519]","[172.85, 44.17, 13.2, 110.87, 443.07, 168.68, 49.17, 249.02, 36.48, 55.92, 174.65]","[0.58, 0.51, 0.19, 0.65, 0.81, 0.56, 0.36, 0.59, 0.51, 0.52, 0.89]",
J141415.41+163915.0,spec-5454-56015-0104,2000,no,,,,,,,,,,1784,594.6666667,2,"3850, 4335, 5100",,,109.92,[109.92],[-38231.52113],[-41554.03618],[508.35],[0.45],,392.66,[392.66],[-38231.52113],[-41554.03618],[508.35],[0.45],,495.25,"[483.27, 11.99]",[-38231.52113 -48906.65617],[-41554.03618 -49712.55115],"[508.35, 29.38]","[0.45, 0.21]",
J091247.35+254646.2,spec-5778-56328-0973,2000,no,"1618.28, 676.53",-29948.98694,-40906.35536,-54361.22219,-59219.35944,,,,,4716,1564.179104,2.015,"3860, 4390, 5200",,,139.64,"[41.99, 97.66]",[-37801.00908 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]",,237.93,"[76.1, 161.83]",[-37936.84518 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]",,298.7,"[97.11, 9.95, 191.64]",[-37868.84957 -40989.28443 -45585.42733],[-40582.83489 -41598.78327 -49018.13831],"[101.74, 26.83, 200.22]","[0.25, 0.18, 0.27]",
J091247.35+254646.2,spec-9602-58131-0454,,,,,,,,,,,,,,2.015,"3860, 4390, 5200",,,0,[],[],[],[],[],,59.97,[59.97],[-46865.79336],[-48749.50924],[119.91],[0.31],,91.91,"[9.67, 82.24]",[-40515.03678 -46933.09917],[-41327.91856 -48749.50924],"[20.32, 119.91]","[0.21, 0.31]",
J125924.28+445105.0,spec-1374-53083-0381,,,,,,,,,,,,,,2.028,"4015, 4525, 5250 Interim",,,0,[],[],[],[],[],,0,[],[],[],[],[],,0,[],[],[],[],[],
J125924.28+445105.0,spec-6621-56366-0502,,,,,,,,,,,"Dont have info on blue-side of Ly-a+NV, Fits well for what we have",3283,1084.214003,2.028,"4015, 4525, 5250",,,77.34,[77.34],[-34514.3775],[-38051.42022],[176.22],[0.26],,143.31,[143.31],[-34514.3775],[-38051.42022],[176.22],[0.26],,164.94,[164.94],[-34514.3775],[-38051.42022],[176.22],[0.26],
J130236.17+095831.8,spec-1793-53883-0520,,,,,,,,,,,No info in Ly-a region. Fits what we see well,,,2.072,"3950, 4400, 5220 Interim",,,3107.18,[3107.18],[-32104.59127],[-43650.69846],[3487.03],[0.65],,3419.43,[3419.43],[-32104.59127],[-43650.69846],[3487.03],[0.65],,3466.24,"[3454.7, 11.54]",[-32104.59127 -56332.47391],[-43650.69846 -56864.94621],"[3487.03, 26.26]","[0.65, 0.26]",
J130236.17+095831.8,spec-5415-55982-0013,,,,,,,,,,,,2099,683.2682292,2.072,"3950, 4400, 5220",,,1875.99,[1875.99],[-32377.56019],[-41283.17311],[2196.0],[0.58],,2134.34,[2134.34],[-32377.56019],[-41283.17311],[2196.0],[0.58],,2190.13,[2190.13],[-32377.56019],[-41283.17311],[2196.0],[0.58],
J120821.01+090130.4,spec-1229-52723-0245,2000,no,,,,,,,,,,,,2.079,"3950, 4375, 5230",,,0,[],[],[],[],[],,0,[],[],[],[],[],,206.36,[206.36],[-52921.07837],[-53856.89295],[332.23],[0.7],
J120821.01+090130.4,spec-5391-56000-0254,2000,no,,,,,,,,,,3277,1064.306593,2.079,"3950, 4375, 5230",,,173.39,[173.39],[-32642.49693],[-38223.64705],[212.2],[0.23],,203.27,"[200.56, 2.7]",[-32642.49693 -52921.07837],[-38223.64705 -53923.78506],"[212.2, 379.16]","[0.23, 0.72]",,434.73,"[211.49, 223.24]",[-32642.49693 -52921.07837],[-38223.64705 -53923.78506],"[212.2, 379.16]","[0.23, 0.72]",
J093208.77+314328.0,spec-5807-56329-0778,2000,no,1.53,-41348.62332,-43378.17873,,,,,,,2105,681.4503075,2.089,"4080, 4375, 5250",,,1.53,[1.53],[-41348.62332],[-43378.17873],[71.08],[0.16],,36.8,[36.8],[-41213.21181],[-43378.17873],[71.08],[0.16],,55.76,[55.76],[-41213.21181],[-43378.17873],[71.08],[0.16],
J093208.77+314328.0,spec-10429-58145-0655,2000,no,555.01,-36326.24835,-43513.38524,,,yes,,,,,,2.089,"4080, 4375, 5250",,,298.64,[298.64],[-38229.23051],[-43445.88292],[368.57],[0.26],,370.43,"[27.14, 343.3]",[-36462.30814 -38229.23051],[-37753.77587 -43445.88292],"[93.08, 368.57]","[0.23, 0.26]",,432.79,"[71.2, 361.59]",[-36462.30814 -38229.23051],[-37753.77587 -43445.88292],"[93.08, 368.57]","[0.23, 0.26]",
