SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
15003,spec-7089-56661-0834-dered.dr16,spec-7089-56661-0834norm.dr16,2.514,22.90784,17.04004,29090094012.429752,-2.4944956662830844
15008,spec-4792-55925-0778-dered.dr16,spec-4792-55925-0778norm.dr16,2.515,23.76611,23.97511,116238965.12523296,-1.8137778745102502
15014,spec-6050-56089-0232-dered.dr16,spec-6050-56089-0232norm.dr16,2.515,36.6046,37.98526,160902088.02692163,-1.8249444383010978
15017,spec-6420-56304-0381-dered.dr16,spec-6420-56304-0381norm.dr16,2.515,17.40081,17.95627,3755.152581273364,-0.6649655672399238
15029,spec-5313-55973-0230-dered.dr16,spec-5313-55973-0230norm.dr16,2.516,16.5787,13.77146,270857552.4547602,-2.0499435295331727
15037,spec-6710-56416-0398-dered.dr16,spec-6710-56416-0398norm.dr16,2.516,11.44067,10.56968,326281321.37727183,-2.0945544714896545
15039,spec-6837-56442-0262-dered.dr16,spec-6837-56442-0262norm.dr16,2.516,19.42686,18.22535,716833.5576489934,-1.2949124628062245
15041,spec-9624-57814-0472-dered.dr16,spec-9624-57814-0472norm.dr16,2.516,11.17854,10.16608,9537983882.81726,-2.560588086008386
15057,spec-5021-55863-0356-dered.dr16,spec-5021-55863-0356norm.dr16,2.518,14.16476,11.46542,72999299586.36295,-2.740746990322495
15061,spec-5471-56034-0082-dered.dr16,spec-5471-56034-0082norm.dr16,2.518,28.53362,28.35453,928800068.2355953,-2.0222627259221975
15062,spec-5878-56033-0296-dered.dr16,spec-5878-56033-0296norm.dr16,2.518,11.10828,10.08202,1736189.299198475,-1.4743208208407028
15070,spec-8736-57400-0846-dered.dr16,spec-8736-57400-0846norm.dr16,2.518,23.25722,24.16032,43774269.981020495,-1.7626939932361991
15079,spec-6468-56311-0816-dered.dr16,spec-6468-56311-0816norm.dr16,2.519,23.46069,22.00808,2247554.2386952904,-1.3934254039805902
15081,spec-6748-56371-0340-dered.dr16,spec-6748-56371-0340norm.dr16,2.519,25.66256,25.31113,4637172442.756579,-2.210703005987095
15093,spec-5942-56210-0760-dered.dr16,spec-5942-56210-0760norm.dr16,2.52,24.54927,21.7424,76490.64924624667,-1.0105833544298706
15107,spec-8507-57878-0200-dered.dr16,spec-8507-57878-0200norm.dr16,2.52,18.3984,22.02882,1056.2207282430138,-0.5384808548661564
15127,spec-7118-56686-0076-dered.dr16,spec-7118-56686-0076norm.dr16,2.521,16.03262,13.85969,8281304.444646752,-1.5714729511091128
15130,spec-4289-55856-0471-dered.dr16,spec-4289-55856-0471norm.dr16,2.522,15.86237,11.32816,1502921733.827842,-2.255270890588187
15131,spec-4866-55895-0328-dered.dr16,spec-4866-55895-0328norm.dr16,2.522,23.92667,21.67912,62372.32386549729,-0.9733043156741511
15132,spec-5136-55836-0810-dered.dr16,spec-5136-55836-0810norm.dr16,2.522,14.44321,13.82587,886526191.2715074,-2.198411074283175
15135,spec-5481-55983-0470-dered.dr16,spec-5481-55983-0470norm.dr16,2.522,19.79022,18.2958,234683.6167611314,-1.1870503569176254
15142,spec-6435-56341-0832-dered.dr16,spec-6435-56341-0832norm.dr16,2.522,27.00817,27.13688,124220772375.08937,-2.6397232846884693
